ucar_id,simb,sum_porc
84,Abb5,90
96,ACh1,80
120,Agh3,95
127,Al2,90
128,Al3,95
144,AP1,90
183,Ay11,95
184,Ay12,80
185,Ay13,85
191,Ay3,90
195,Ay8,90
199,Az13,80
200,Az14,90
203,Az40,90
204,Az41,90
212,Az8,80
223,Bal16,90
225,Bal18,85
235,Bal28,85
243,Bal8,85
245,Bb1,90
246,Bb2,80
273,Bra11,90
274,Bra2,80
276,Bra4,90
278,Bra6,95
279,Bra7,90
281,Bra9,90
288,Bv12,90
292,Bv16,90
297,Bv20,90
298,Bv21,90
302,Bv25,90
318,Bv7,80
325,Cas5,80
335,CC11,90
336,CC12,80
342,CC6,90
344,CC8,80
377,Chas3,80
381,Che1,80
384,Che13,85
385,Che14,90
390,Che5,70
393,Che8,90
396,Chj1,85
401,Chr3,85
403,Clq,20
615,Cob3,90
716,Cru,90
718,Cru2,80
728,CSe11,80
729,CSe2,90
734,CSe8,90
735,CSe9,90
737,CSt,85
738,CSt1,80
740,CT2,90
810,Eg3,90
826,EMe1,90
827,EN,90
829,EN2,90
830,EN3,90
831,EN4,80
832,EN6,80
857,ER2,95
873,Erz6,80
875,ES,90
879,ESA2,90
884,ET,90
893,EV,95
895,EV2,90
896,EV3,90
904,FA2,200
914,FT13,90
928,GC5,90
931,GC8,90
934,Ge6,90
935,Ge7,90
942,GG15,90
948,GG20,85
951,GG23,80
952,GG24,90
953,GG25,80
954,GG26,90
965,GG36,75
967,GG38,80
971,GG41,95
974,GG44,90
980,GG5,90
994,GL6,95
995,GL7,95
996,GL8,80
1009,Go15,85
1013,Go20,90
1019,Go8,90
1022,GP1,80
1059,IWh,75
1067,Ju17,90
1068,Ju18,95
1074,LA,80
1077,LA13,80
1079,LA2,80
1081,LA4,80
1086,LAb1,90
1087,LAb10,90
1088,LAb11,90
1089,LAb12,90
1090,LAb13,80
1091,LAb14,90
1095,LAb18,90
1096,LAb19,70
1100,LAb5,90
1101,LAb7,85
1103,LAb9,90
1120,LD13,90
1121,LD14,90
1125,LD3,90
1126,LD4,90
1145,LEs10,90
1177,LHe,90
1180,LHe3,80
1191,LLa1,80
1192,LLa2,90
1193,LLa3,90
1194,LLa4,85
1196,LLa6,90
1197,LLa7,90
1219,LMa,90
1221,LMa11,90
1224,LMa4,90
1225,LMa5,90
1229,LMa9,90
1230,LMs,90
1234,Ln,95
1237,Ln10,90
1238,Ln11,90
1240,Ln13,90
1241,Ln14,90
1242,Ln15,80
1243,Ln16,90
1244,Ln17,80
1245,Ln18,95
1246,Ln19,90
1247,Ln2,90
1258,Ln3,90
1261,Ln31,90
1265,Ln35,90
1269,Ln4,90
1271,Ln5,90
1272,Ln6,90
1273,Ln7,90
1274,Ln8,90
1275,Ln9,95
1276,LNE,85
1281,LNE5,90
1290,Lo11,90
1296,Lo4,90
1322,Lpd18,90
1329,Lpd3,90
1338,LPg5,80
1341,LPn2,90
1344,LRs1,90
1345,LRs10,90
1346,LRs11,90
1347,LRs12,85
1348,LRs13,95
1349,LRs14,95
1350,LRs15,95
1351,LRs2,90
1352,LRs3,90
1355,LRs6,95
1356,LRs7,90
1358,LRs9,90
1365,LTi12,90
1377,Lz11,80
1378,Lz12,90
1379,Lz13,80
1380,Lz14,90
1393,Mb,90
1394,Mb1,90
1424,Me2,90
1433,Mg3,90
1434,Mg4,90
1443,MP10,80
1445,MP12,85
1457,MP23,90
1488,MP6,90
1491,MP9,80
1498,Mpu14,90
1501,Mpu17,95
1502,Mpu18,90
1507,Mpu22,85
1513,Mpu3,95
1515,Mpu4,95
1516,Mpu5,95
1518,Mpu7,80
1520,Mpu9,95
1521,Mrs,85
1522,Mrs1,80
1523,Mrs2,90
1525,Mrs4,90
1545,Ne10,95
1551,Ne16,90
1552,Ne17,90
1553,Ne18,90
1566,Ne8,90
1568,NJ,90
1569,NJ1,90
1570,NJ10,90
1571,NJ11,85
1573,NJ13,90
1576,NJ4,95
1577,NJ5,90
1578,NJ6,90
1579,NJ7,90
1580,NJ8,90
1581,NJ9,90
1586,No12,90
1588,No14,90
1589,No15,90
1590,No16,90
1591,No17,90
1592,No18,85
1593,No19,95
1594,No2,90
1600,No25,70
1603,No28,95
1605,No3,70
1606,No30,95
1608,No32,95
1609,No33,85
1612,No4,90
1614,No6,85
1616,No8,95
1617,No9,90
1628,Och2,90
1630,Och4,90
1635,Och9,90
1651,OH22,95
1656,OH28,90
1657,OH29,90
1658,OH30,90
1659,OH31,90
1667,Ola1,90
1670,Ola13,90
1671,Ola14,90
1673,Ola16,90
1677,Ola4,80
1678,Ola5,85
1681,Ola8,80
1682,Ola9,90
1688,Or14,80
1689,Or15,70
1691,Or17,90
1692,Or18,95
1693,Or19,90
1695,Or20,95
1696,Or21,95
1697,Or22,85
1698,Or23,90
1700,Or25,95
1701,Or26,90
1703,Or28,90
1705,Or3,90
1706,Or30,95
1707,Or31,95
1708,Or32,85
1709,Or33,95
1712,Or36,95
1713,Or37,95
1714,Or38,90
1715,Or39,90
1716,Or4,90
1717,Or40,90
1718,Or41,90
1719,Or42,90
1720,Or43,90
1721,Or44,95
1722,Or46,90
1725,Or49,90
1726,Or5,80
1728,Or7,90
1729,Or8,90
1730,Or9,90
1773,Pch18,90
1780,Pch8,90
1791,Pe18,80
1809,Ph4,90
1810,Ph5,90
1819,Pin,90
1824,PM,98
1840,Po12,80
1868,Py4,90
1893,RcA,20
1894,Rch,90
1895,Rch1,80
1906,RG9,90
1948,RS,90
1951,RS10,90
1953,Rs17,80
1954,RS2,90
1959,RS6,90
1960,RS7,90
1992,Sa12,90
2002,SaCh,80
2003,SaCh1,80
2006,SaL1,90
2009,SB,90
2013,SB2,90
2018,SB7,85
2031,Sf12,95
2032,Sf13,95
2034,Sf15,90
2035,Sf16,85
2036,Sf17,95
2050,SG7,90
2061,SGb7,90
2065,SI1,90
2071,SI22,90
2072,SI23,90
2075,SIs,90
2077,SL2,90
2104,SP3,80
2107,SP6,70
2116,SRi10,90
2117,SRi11,90
2121,SRi6,90
2123,SRi9,90
2151,ST,90
2161,Su8,90
2170,SV6,90
2179,Sy5,90
2181,Ta1,80
2184,TA10,90
2192,Ta15,90
2201,Ta2,90
2206,TA22,90
2213,Ta26,85
2216,TA27,90
2218,Ta29,110
2220,Ta3,80
2230,TA37,90
2236,TA41,90
2238,TA43,90
2251,TA57,80
2257,TA63,95
2259,TA65,90
2263,TA69,75
2268,Ta72,90
2270,TA74,90
2272,TA76,95
2279,TA81,90
2281,TA83,90
2288,TA9,90
2289,TA90,90
2290,Tdf,90
2291,Tdf1,85
2292,TEs,80
2300,Tor1,80
2301,Tor2,90
2306,Tri1,90
2311,Ty,90
2312,Ty1,90
2313,Ty2,90
2338,VD,90
2339,VD1,80
2349,Vi2,90
2350,Vi3,90
