ucar_id,simb,serie,porc,fase,posicion
725,CSCh,NA,100,NA,Bajo
736,CSG,NA,100,NA,Bajo
906,FA4,NA,100,NA,Plano aluvial
36,43p,NA,70,NA,Medanos
36,43p,Haplustol entico,30,NA,Pendientes
40,47p,NA,60,NA,Pendiente
40,47p,Haplustol entico,30,NA,Pendiente
40,47p,Haplustol entico,10,NA,Pendiente
43,50p,NA,50,NA,Planos
43,50p,Paleustol petrocalcico,30,NA,Pendiente
43,50p,Ustipsament tipico sobre tosca,20,NA,Pendiente
44,51p,NA,50,NA,Bajos
44,51p,Haplustol entico (sodico),30,NA,Bajos
44,51p,Calciustol petrocalcico,20,NA,Planos
47,54p,NA,90,NA,Medanos
47,54p,Calciustol petrocalcico,10,NA,Planos
66,76p,NA,40,NA,Planos
66,76p,Haplustol aridico,40,NA,Planos
66,76p,Torripsamente ustico,20,NA,Pendientes
72,82p,NA,20,NA,Depresiones
72,82p,Torripsamente tipico,50,NA,Medanos
72,82p,Haplustol tipico,30,NA,Pendientes
94,FA2,NA,100,NA,Bajo
136,AoCM,NA,100,NA,Bajo
137,AoPhG,NA,100,NA,Bajos
214,Bñ,NA,100,NA,-
321,CAAoS,NA,100,NA,bajos elongados
404,CM,NA,100,NA,-
413,Cni,NA,100,NA,planos aluviales
904,FA2,NA,100,NA,Bajo
904,FA2,Fuerte Argentino,100,NA,Bajo
1073,L,NA,100,NA,-
1106,Lc1,NA,80,NA,Ambiente palustre
1106,Lc1,Miscelaneas (agua),20,NA,Espejo de agua
1107,Lc2,NA,50,NA,Ambiente palustre
1107,Lc2,Miscelaneas (agua),50,NA,Espejo de agua
1108,Lc3,NA,20,NA,Ambiente palustre
1108,Lc3,Miscelaneas,80,NA,Espejo de agua
1361,LT,NA,100,NA,-
1385,M,NA,100,NA,-
1387,M2,NA,100,NA,-
1388,M3,NA,100,NA,-
1389,M4,NA,100,NA,-
1427,Med,NA,100,NA,Medano
1428,MedC,NA,100,NA,NA
1429,MedE,NA,100,NA,Medano
1870,Q1,NA,100,NA,pendiente
