serie,taxo
El Arbolito,Argiudol tipico
Aaron Castellanos,Natralbol tipico
Arroyo Dulce,Argiudol tipico
Alem,Argiudol tipico
El Abolengo,Hapludol tipico
Arrecifes,Argiudol acuico
Argerich,Haplustol entico
Ayacucho,Natrudol tipico
Azul,Argiudol petrocalcico
Balcarce,Argiudol petrocalcico
Blanca Chica,Argiudol tipico
Bragado,Hapludol tipico
Bolivar,Hapludol entico
Chelforo,Natracualf tipico
Cañuelas,Argiudol acuico
Cobo,Argiudol abruptico
Suelos hidrohalomorficos Copetonas,Hapludol entico
Cañada Seca,Hapludol thapto argico
Delgado,Argiudol tipico
Dufaur,Argiustol tipico
Del Valle,Hapludol entico
El Carmen,Hapludol thapto n�trico
Elordi,Hapludol thapto argico
Estacion La Nevada,Natracuol tipico
El Recuerdo,Natralbol tipico
Estacion Rivera,Haplustol entico
Fuerte Argentino,Argiudol acuico
Faustina,Natralbol tipico
General Conesa,Natracuert tipico
General Guido,Natracuol tipico
Grunbein,Haplustol thapto natrico
Gowland,Natracualf tipico
Hughes,Argiudol tipico
Junin,Hapludol tipico
La Alianza,Hapludol petrocalcico
La Albina,Hapludol thapto natrico
Juncal,Argiudol tipico
La Malacara,Natracuol tipico
Las Martinetas,Hapludol entico
Lincoln,Hapludol tipico
Laprida,Argiudol tipico
Las Armas,Hapludol thapto natrico
Lazzarino,Natralbol tipico
Micheo,Udipsament tipico
Necochea,Argiudol tipico
Nueve de Julio,Hapludol thapto natrico
Norumbega,Hapludol entico
Villa Moll,Natralbol tipico
O Higgins,Argiudol tipico
Ortiz de Rosas,Hapludol thapto argico
Piedritas,Hapludol entico
Pergamino,Argiudol tipico
Portela,Argiudol vertico
Rojas,Argiudol tipico
Wheelwright,Natralbol tipico
Rosales,Natralbol tipico
Rio Tala,Paleudol petrocalcico
Sauce Chico,Argiustol tipico
Semillero Buck,Argiudol tipico
Saforcada,Hapludol entico
San Gregorio,Hapludol tipico
Santa Isabel,Hapludol tipico
Solis,Argiudol vertico
San Vicente,Argialbol tipico
Tres Arroyos,Argiudol calcico
Calciustol petrocalcico,Torripsament tipico
Haplustol entico,Haplustol entico
Abbot,Argiudol abruptico
Arroyo Chico,Pelludert tipico
Arroyo Corto,Hapludol cumulico
Ameghino,Hapludol entico
Arroyo de Zabala,Hapludol entico
Arroyo Pantanoso,Natralbol tipico
Agustin Roca,Argialbol tipico
Atucha,Argiudol abruptico
Paraje Arenas Verdes,Cuarzipsament tipico
Alta Vista,Haplustol litico
Azcuenaga,Natracualf molico
Balbin,Natracuol durico
Estacion La Limpia,Natracuol tipico
Bahia Blanca,Haplustol aridico
Bajo Hondo,Natrustol ácuico-cálcico
Bonete,Haplustol petrocálcico
Brandsen,Argiudol abruptico
Bahia Samborombon,Natracuert tipico
Castelli,Natracuol tipico
Carabelas,Argiudol tipico
Coronel Bunge,Natracualf petrocalcico
Cinco Cerros,Argiudol petrocalcico
Cascada,Argiudol petrocalcico
