simb,n_simb,ucar_id,descr_ucar,tipo,cap_uso,ucar_ip,act
43p,1,36,NA,Asociacion,NA,0,0
47p,1,40,NA,Asociacion,NA,0,0
50p,1,43,NA,Asociacion,NA,0,0
51p,1,44,NA,Asociacion,NA,0,0
52p,1,45,NA,Consociacion,NA,0,0
54p,1,47,NA,Consociacion,NA,0,0
76p,1,66,NA,Asociacion,NA,0,0
77p,1,67,NA,Asociacion,NA,0,0
82p,1,72,NA,Asociacion,NA,0,0
Ab,1,73,Consociacion El Arbolito,Consociacion,IIw o I-2,77,0
Ab12,1,74,Asociacion El Arbolito 12,Asociacion,NA,NA,1
Ab2x,1,75,Consociacion El Arbolito 2x,Consociacion,IIIw,68,0
Ab4,1,76,Complejo El Arbolito 4,Complejo,IIw,69,0
Ab5,1,77,Complejo El Arbolito 5,Complejo,IIIws,60,0
Abb,1,78,Asociacion Abbot,Asociacion,VIws,38,0
Abb1,1,79,Consociacion Abbot 1,Consociacion,VIws,54,0
Abb10,1,80,Complejo Abbot 10,Complejo,VIws,46,0
Abb2,1,81,Complejo Abbot 2,Complejo,VIws,46,0
Abb3,1,82,Complejo Abbot 3,Complejo,VIws,37,0
Abb4,1,83,Complejo Abbot 4,Complejo,VIws,41,0
Abb5,1,84,Complejo Abbot 5,Complejo,IVws,43,0
Abb6,1,85,Complejo Abbot 6,Asociacion,IVws,42,0
Abb7,1,86,Asociacion Abbot 7,Asociacion,IVws,43,0
Abb8,1,87,Complejo Abbot 8,Complejo,IVws,43,0
Abb9,1,88,Complejo Abbot 9,Complejo,VIws,32,0
AC2,1,89,Complejo Aaron Castellanos 2,Complejo,VIws,29,0
AC4,1,90,Complejo Aaron Castellanos 4,Complejo,VIws,16,0
AC5,1,91,Complejo Aaron Castellanos 5,Complejo,VIws,26,0
AC6,1,92,Complejo Aaron Castellanos 6,Complejo,VIws,22,0
AC7,1,93,Complejo Aaron Castellanos 7,Complejo,VIIws,6,0
ACh,1,95,Complejo Arroyo Chico,Complejo,VIIws,9,0
ACh1,1,96,Complejo Arroyo Chico 1,Complejo,VIII,4,0
ACo,1,97,Consociacion Arroyo Corto,Consociacion,IIIsc,64,0
ACo1,1,98,Consociacion Arroyo Corto 1,Consociacion,IIIsc,62,0
AD,1,99,Consociacion Arroyo Dulce,Consociacion,I-1,84,0
AD1,1,100,Consociacion Arroyo Dulce 1,Consociacion,IIIe,70,0
AD10,1,101,Consociacion Arroyo Dulce 10,Consociacion,IVe,41,0
AD11,1,102,Consociacion Arroyo Dulce 11,Consociacion,IIw,76,0
AD12,1,103,Consociacion Arroyo Dulce 12,Consociacion,IIw,77,0
AD13,1,104,Asociacion Arroyo Dulce,Asociacion,IIw,77,0
AD14x,1,105,Consociacion Arroyo Dulce 14x,Consociacion,IIIw,69,0
AD15,1,106,Consociacion Arroyo Dulce 15,Consociacion,IIIew,62,0
AD2,1,107,Consociacion Arroyo Dulce 2,Consociacion,IIIe,53,0
AD2x,1,108,Consociacion Arroyo Dulce 2x,Consociacion,IIIe,64,0
AD3,1,109,Consociacion Arroyo Dulce 3,Consociacion,IVe,44,0
AD4,1,110,Consociacion Arroyo Dulce 4,Consociacion,IIw,79,0
AD5,1,111,Consociacion Arroyo Dulce 5,Consociacion,IIe,70,0
AD6,1,112,Consociacion Arroyo Dulce 6,Consociacion,IIIe,63,0
AD7,1,113,Consociacion Arroyo Dulce 7,Consociacion,IIIe,66,0
AD8,1,114,Consociacion Arroyo Dulce 8,Consociacion,IVe,49,0
AD9,1,115,Consociacion Arroyo Dulce 9,Consociacion,IIIe,50,0
ADx,2,116,Consociacion  Arroyo Dulce,Consociacion,IIw,86,0
ADx,2,116,Consociacion Arroyo Dulce,Consociacion,IIw,86,0
Agh,1,117,Consociacion Ameghino,Consociacion,IIIs,45,0
Agh1,1,118,Consociacion Ameghino 1,Consociacion,IVs,54,0
Agh2,1,119,Asociacion Ameghino 2,Asociacion,IIIws,46,0
Agh3,1,120,Asociacion Ameghino 3,Asociacion,IIIs,51,0
Agh4,1,121,Complejo Ameghino 4,Complejo,IIIws,48,0
Agh5,1,122,Complejo Ameghino 5,Complejo,IIIs,55,0
Agh6,1,123,Complejo Ameghino 6,Complejo,IIIs,46,0
Agh7,1,124,Asociacion Ameghino 7,Asociacion,IIIws,47,0
Al,1,125,Consociacion Alem,Consociacion,IIs,77,0
Al1,1,126,Complejo Alem 1,Complejo,IIs,73,0
Al2,1,127,Complejo Alem 2,Complejo,IIws,67,0
Al3,1,128,Complejo Alem 3,Complejo,IIw,77,0
Ao1,1,129,Asociacion El Abolengo 1,Asociacion,IIws,70,0
Ao4,1,130,Complejo El Abolengo 4,Complejo,IIIws,46,0
Ao5,1,131,El Abolengo 5,NA,IIIws,59,0
Ao6,1,132,Asociacion El Abolengo 6,Asociacion,IIs,72,0
Ao7,1,133,Asociacion El Abolengo 7,Asociacion,IIws,63,0
Ao8,1,134,Asociacion El Abolengo 8,Asociacion,IIw,71,0
Ao9,1,135,Complejo El Abolengo 9,Complejo,IIIw,64,0
AoCM,1,136,Grupo no diferenciado de suelos hidromorficos alcalinos del Arroyo Cura Malal Grande,GND,VIws,10,0
AoPhG,1,137,Complejo del Arroyo Pillahuinco Grande,GND,VIws,15,0
AoZa2,1,138,Complejo Arroyo de Zabala 2,Complejo,IVes,40,0
AoZa3,1,139,Complejo Arroyo de Zabala 3,Complejo,IVes,42,0
AoZa4,1,140,Asociacion Arroyo de Zabala 4,Asociacion,IVes,45,0
AoZa5,1,141,Asociacion Arroyo de Zabala 5,Asociacion,IVes,40,0
AoZa6,1,142,Asociacion Arroyo de Zabala 6,Asociacion,IVes,46,0
AP,1,143,Consociacion Arroyo Pantanoso,Consociacion,VIws,18,0
AP1,1,144,Complejo Arroyo Pantanoso 1,Complejo,VIws,35,0
AP2,1,145,Complejo Arroyo Pantanoso 2,Complejo,VIws,24,0
Ar,1,146,Consociacion Arrecifes,Consociacion,IIe,77,0
AR,1,147,Consociacion Agustin Roca,Consociacion,Vw,29,0
Ar10,1,148,Asociacion Arrecifes 10,Asociacion,IVes,42,0
Ar11,1,149,Asociacion Arrecifes 11,Asociacion,IVes,42,0
Ar12,1,150,Complejo Arrecifes 12,Complejo,IVws,48,0
Ar2,1,151,Consociacion Arrecifes 2,Consociacion,IIIe,60,0
Ar3,1,152,Consociacion Arrecifes 3,Consociacion,IVe,40,0
Ar4,1,153,Consociacion Arrecifes 4,Consociacion,IVe,43,0
Ar5,1,154,Consociacion Arrecifes 5,Consociacion,IVe,38,0
Ar6,1,155,Consociacion Arrecifes 6,Consociacion,IVe,38,0
Ar7x,1,156,Consociacion Arrecifes 7x,Consociacion,IIIe,60,0
Ar8,1,157,Consociacion Arrecifes 8,Consociacion,IIIw,75,0
Ar9,1,158,Asociacion Arrecifes 9,Asociacion,IIIes,49,0
Arg,1,159,Asociacion Argerich,Asociacion,VII,NA,1
Arx,1,160,Consociacion Arrecifes x,Consociacion,IIw,77,0
At,1,161,Consociacion Atucha,Consociacion,IIw,73,0
At1,1,162,Consociacion Atucha 1,Consociacion,IIIew,66,0
At1x,1,163,Consociacion Atucha 1x,Consociacion,IIIew,69,0
At2x,1,164,Consociacion Atucha 2x,Consociacion,IIIew,60,0
At3,1,165,Consociacion Atucha 3,Consociacion,IVe,37,0
AV,1,166,Consociacion Paraje Arenas Verdes,Consociacion,VIIes,9,0
AV1,1,167,Consociacion Paraje Arenas Verdes 1,Consociacion,VIIs,2,0
AV2,1,168,Asociacion Paraje Arenas Verdes 2,Asociacion,VIIes,15,0
AV3,1,169,Consociacion Paraje Arenas Verdes 3,Consociacion,9,9,0
AV4,1,170,Consociacion Paraje Arenas Verdes 4,Consociacion,VIIes,9,0
AV5,1,171,Complejo Paraje Arenas Verdes 5,Complejo,VIs,17,0
AVi,1,172,Complejo Alta Vista,Complejo,IVs,33,0
AVi1,1,173,Alta Vista 1,NA,IVs,33,0
AVi2,1,174,Consociacion Alta Vista 2,Consociacion,VIes,23,0
AVi3,1,175,Asociacion Alta Vista 3,Asociacion,IVs,39,0
AVi4,1,176,Consociacion Alta Vista 4,Consociacion,VIsc,29,0
AVi5,1,177,Consociacion Alta Vista 5,Consociacion,VIs,0,0
AVi6,1,178,Asociacion Alta Vista 6,Asociacion,NA,0,0
AVi7,1,179,Alta Vista 7,NA,NA,0,0
Ay,1,180,Asociacion Ayacucho,Asociacion,IVws,38,0
Ay1,1,181,Complejo Ayacucho 1,Complejo,IVws,34,0
Ay10,1,182,Complejo Ayacucho 10,Complejo,IVws,34,0
Ay11,1,183,Complejo Ayacucho 11,Complejo,IVws,45,0
Ay12,1,184,Complejo Ayacucho 12,Complejo,VIws,23,0
Ay13,1,185,Complejo Ayacucho 13,Complejo,VIws,34,0
Ay15,1,186,Consociacion Ayacucho 15,Consociacion,IVws,41,0
Ay16,1,187,Complejo Ayacucho 16,Complejo,IVws,30,0
Ay17,1,188,Asociacion Ayacucho 17,Asociacion,IIIws,43,0
Ay18,1,189,Asociacion Ayacucho 18,Asociacion,IIIws,50,0
Ay2,1,190,Asociacion Ayacucho 2,Asociacion,IVws,32,0
Ay3,1,191,Complejo Ayacucho 3,Complejo,VIws,22,0
Ay5,1,192,Complejo Ayacucho 5,Complejo,IIIws,53,0
Ay6,1,193,Complejo Ayacucho 6,Complejo,VIws,24,0
Ay7,1,194,Complejo Ayacucho 7,Complejo,IVws,47,0
Ay8,1,195,Complejo Ayacucho 8,Complejo,IVws,30,0
Ay9,1,196,Complejo Ayacucho 9,Complejo,IVws,48,0
Az10,1,197,Complejo Azul 10,Complejo,NA,NA,1
Az12,1,198,Consociacion Azul 12,Consociacion,IIs,58,0
Az13,1,199,Complejo Azul 13,Complejo,IIIw,56,0
Az14,1,200,Complejo Azul 14,Complejo,IIIws,51,0
Az35,1,201,Complejo Azul 35,Complejo,IIIws,45,0
Az37,1,202,Complejo Azul 37,Complejo,IIIs,48,0
Az40,1,203,Complejo Azul 40,Complejo,IVes,30,0
Az41,1,204,Asociacion Azul 41,Asociacion,IVws,44,0
Az42,1,205,Complejo Azul 42,Complejo,IIIs,49,0
Az43,1,206,Complejo Azul 43,Complejo,IIIws,48,0
Az44,1,207,Complejo Azul 44,Complejo,IVes,40,0
Az45,1,208,Complejo Azul 45,Complejo,IIIes,50,0
Az46,1,209,Complejo Azul 46,Complejo,IIIs,57,0
Az51,1,210,Asociacion Azul 51,Asociacion,IIIs,54,0
Az6,1,211,Complejo Azul 6,Complejo,IIIs,42,0
Az8,1,212,Complejo Azul 8,Complejo,NA,NA,1
Azg,1,213,Asociacion Azcuenaga,Asociacion,IVws,40,0
Bal,1,215,Complejo Balcarce,Complejo,IIIes,50,0
Bal1,1,216,Complejo Balcarce 1,Complejo,IVes,35,0
Bal10,1,217,Complejo Balcarce 10,Complejo,IIIes,44,0
Bal11,1,218,Complejo Balcarce 11,Complejo,IIIes,56,0
Bal12,1,219,Complejo Balcarce 12,Complejo,IIIes,55,0
Bal13,1,220,Asociacion Balcarce 13,Asociacion,IIIes,54,0
Bal14,1,221,Asociacion Balcarce 14,Asociacion,IIIes,46,0
Bal15,1,222,Complejo Balcarce 15,Complejo,IIIs,68,0
Bal16,1,223,Complejo Balcarce 16,Complejo,IIIes,54,0
Bal17,1,224,Complejo Balcarce 17,Complejo,IIIes,54,0
Bal18,1,225,Complejo Balcarce 18,Complejo,IIIs,67,0
Bal2,1,226,Complejo Balcarce 2,Complejo,IIIes,52,0
Bal20,1,227,Complejo Balcarce 20,Complejo,IVes,35,0
Bal21,1,228,Consociacion Balcarce 21,Consociacion,IIIs,55,0
Bal22,1,229,Consociacion Balcarce 22,Consociacion,IIIs,54,0
Bal23,1,230,Complejo Balcarce 23,Complejo,IIIs,65,0
Bal24,1,231,Complejo Balcarce 24,Complejo,IIIs,44,0
Bal25,1,232,Complejo Balcarce 25,Complejo,IIIes,44,0
