hoja_ign,nombre,simb,ucar_id,poli_id
3360-31,SIN NOMBRE,Ab12,74,1
3360-31,SIN NOMBRE,Ab2x,75,2
3360-32,PERGAMINO,Ab5,77,3
3563-6,VILLA CAÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã‹Å“AS,AC2,89,4
3360-32,PERGAMINO,AD13,104,5
3560-2,ROJAS,AD15,106,6
3563-12,VEDIA,Al2,127,7
3563-11,DIEGO DE ALVEAR,Ao1,129,8
3563-11,DIEGO DE ALVEAR,Ao8,134,9
3360-34,SIN NOMBRE,Ar10,148,10
3963-10,CHASICO,Arg,159,11
3757-32,SIN NOMBRE,Ay13,185,12
3960-12,NECOCHEA,Az35,201,13
3960-9,SIN NOMBRE,Az37,202,14
3960-6,LOBERÃƒÆ’Ã†â€™Ãƒâ€šÃ‚ÂA,Az6,211,15
3760-36,SAN MANUEL,Bal17,224,16
3757-31,BALCARCE,Bal21,228,17
3760-9,TAPALQUE,BCh5,254,18
3560-21,BRAGADO,Bra3,275,19
3763-5,MONES CAZON,Bv31,309,20
3563-36,PEHUAJO,Bv37,315,21
3757-31,BALCARCE,Che10,382,22
3560-15,CHIVILCOY,Cñ,402,23
3360-27,SIN NOMBRE,Co12,434,24
3560-15,CHIVILCOY,Co121,436,25
3560-14,GENERAL O'BRIEN,Co124,438,26
3360-27,SIN NOMBRE,Co14,443,27
3360-27,SIN NOMBRE,Co15,452,28
3560-4,SIN NOMBRE,Co156,459,29
3560-4,SIN NOMBRE,Co157,460,30
3560-4,SIN NOMBRE,Co158,461,31
3560-5,SIN NOMBRE,Co160,463,32
3560-4,SIN NOMBRE,Co161,464,33
3563-6,VILLA CAÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã‹Å“AS,Co182,471,34
3563-12,VEDIA,Co187,472,35
3560-1,GENERAL ARENALES,Co22,481,36
3560-3,SALTO,Co24,483,37
3560-3,SALTO,Co35,495,38
3560-2,ROJAS,Co37,497,39
3360-31,SIN NOMBRE,Co38,498,40
3360-32,PERGAMINO,Co5,502,41
3360-31,SIN NOMBRE,Co6,505,42
3560-1,GENERAL ARENALES,Co70,508,43
3560-1,GENERAL ARENALES,Co71,509,44
3360-27,SIN NOMBRE,Co79,517,45
3360-31,SIN NOMBRE,Co8,518,46
3360-28,GOBERNADOR CASTRO,Co84,523,47
3360-34,SIN NOMBRE,Co87,525,48
3360-34,SIN NOMBRE,Co88,526,49
3360-34,SIN NOMBRE,Co89,527,50
3360-34,SIN NOMBRE,Co91,530,51
